procedure_code,procedure_description,benefit_group
diag435,Malarial Parasite Thick  and thin films -  [Blood],clinical pathology
drg1458,CARDOVASC XL 30MG TAB,chronic medication
drg2445,Nature care vit E 1000i.u,clinical pathology
diag810,Adenovirus IgG Antibody [Serum],clinical pathology
diag811,Adenovirus IgM Antibody [Serum],clinical pathology
drg2876,Rovista 10mg,chronic medication
diag1135,E3 - Unconjugated Estriol -  [Serum],clinical pathology
drg2764,P-TEST pregnancy strip,medical appliances/consumables
diag1763,MRI Pitutary,advanced and complex investigations
drg4068,AMLODIPINE VALSARTAN HCTZ 10 160 12 5MG TAB,chronic medication
drg4069,AMLODIPINE VALSARTAN HCTZ 5 160 12 5MG TAB,chronic medication
med0338,Tab Linagliptin 2.5 + metformin 500mg PER PACK,chronic medication
pcd781,Craniotomy and Excision of Cerebellopontine Angle Tumour,surgeries
cli0127,GYNAECOMASTIA PROFILE,infertility treatment-investigations
pcd477,Removal Of Intramedullary Rod excluding K wire,surgeries
diag1391,Lp- PLA2 (PLAC) Cardiac risk marker - [serum],clinical pathology
diag1512,Protein C Activity Functional [Citrated plasma],clinical pathology
diag1515,Protein S Activity Functional [Citrated plasma],clinical pathology
drg4684,PERGONAL 75 INJ,non-chronic medications
dent21,Dental Flexible Partial Dentures-1 to 4 Teeth,dentistry
drg1335,BETAMETHASONE  CREAM 20g DGF,non-chronic medications
cli0104,ALBUMIN CREATININE RATIO- [ACR],selective health screening
diag1832,Penile Doppler Potency Test,advanced and complex investigations
diag1617,Typhoid IgG and IgM Qualitative - [Serum],clinical pathology
diag245,"Electrolytes = Sodium, Potassium, Chloride [Dialysis fluid]",clinical pathology
med0563,Amoxicillin clavulanate 1gm,non-chronic medications
pcd701,Amalgam Fillings - One Surface(Medium),dentistry
diag1715,MAMMOGRAPHY / SONO BREAST (FOR PACKAGE),advanced and complex investigations
pcd183,Myringotomy,surgeries
pcd187,Ossiculoplasty,surgeries
sur0177,hymenectomy,surgeries
diag2164,XRAY Thoracolumber AP,x-rays and contrast studies
diag2165,XRAY Thoracolumber LAT,x-rays and contrast studies
drg1274,AZATHIOPRIN TABS 50MG satchet (NAMANRAN),chronic medication
drg1194,ARTEMETER  LUMEFRANTINE,non-chronic medications
diag244,"Electrolytes = Sodium, Potassium, Chloride  [Urine, spot]",clinical pathology
diag962,Cardiolipin Antibody- IgA - [Serum],clinical pathology
diag809,Adenovirus DNA detection By PCR [Respiratory Fluid],clinical pathology
pcd334,IOL Implant With Anterior Vitrectomy (Standard Monofocal only),surgeries
diag581,HSV 1and2 IgM antibodies to Herpes Simplex Virus 1 and2 -  [CSF],clinical pathology
diag1533,Rubella (German measles) virus RNA detection by PCR - [EDTA Blood],clinical pathology
pcd288,Open Oophorectomy - Unilateral,surgeries
diag1668,Blood Group And Cross Matching (ABO and Rh typing)  -  [EDTA Blood],clinical pathology
cli0135,JAW PHYSIOTHERAPY (PER SESSION),physiotherapy
med0154,Hyaluronidase,non-chronic medications
dent20,Dental Flexible Partial Dentures- 5 to 8 Teeth,dentistry
diag478,ENDOCERVICAL CURETTAGE AND HISTOLOGY,dentistry
diag610,TORCH-8 IgG and IgM - [Serum],clinical pathology
pcd521,Arthroscopy and Stabilisation Of Shoulder,surgeries
diag751,"Sputum Routine examination -Comprehensive (Includes cytology, routine examination and M/C/S) - [Sputum]",clinical pathology
drg1599,Co-diovan 160/25mg Satchet,non-chronic medications
diag1471,"Parainfluenza 1,2 and 3 IgG antibody - [Serum]",clinical pathology
pcd4312,Small Cyst Excision,surgeries
drg2328,MAXITROL OINTMENT,non-chronic medications
med0495,NIFEDIPINE 30MG (M&B),chronic medication
drg2164,IVYZINC EYEDROP,non-chronic medications
drg4013,Aceclofenac  100mg,non-chronic medications
pcd181,Oesophagoscopy - With Biopsy,surgeries
drg2374,MICROGYNON,non-chronic medications
drg4167,Chymotrypsin(Chymar) 5000IU Injection X5,non-chronic medications
diag1528,Riboflavin (Vitamin B2) -  [EDTA Blood],clinical pathology
pcd778,Craniotomy and Excision of Meningioma -Infratentorial,surgeries
drg4611,NEOMYCIN EYE DROP,non-chronic medications
pcd280,Antenatal Care Package- Routine Inv and 8 visits,maternity
diag016,HMO Echocardiogram,advanced and complex investigations
diag1671,Comprehensive Allergy Test Panel (Paedriatics),clinical pathology
drg4290,ETHABUMOL SYR,non-chronic medications
diag071,CT HUMERUS,advanced and complex investigations
drg2605,ORHEPTAL,non-chronic medications
med0274,Oraldene,non-chronic medications
diag175,Colposcopy and Endometrial Biopsy  Histology,surgeries
pcd624,Endoscopic Thoracic Sympathectomy (ETS) - Bilateral,surgeries
diag746,"Semen, Routine examination/ Seminal Fluid Analysis - [Semen]",clinical pathology
pcd188,Stapedectomy,surgeries
pcd704,Cheiloplasty,surgeries
pcd742,Valvuloplasty,surgeries
cons036,Neurologist Follow Up,consultation specialist
pcd772,Posterior Fossa Craniectomy with Excision of Tumour,surgeries
diag580,HSV 1and2 IgG antibodies to Herpes Simplex Virus 1 and 2 -  [CSF],clinical pathology
sur0100,Dorsal Root Ganglion Block (Local Anaesthetic Or Neurolytic),surgeries
drg4289,ESTRADIOL DEPOT INJ1 AMP,clinical pathology
diag164,NON TUNNELLED CATHETER REMOVAL,medical appliances/consumables
drg4792,SODIUM BICARBONATE 300MG TABS,non-chronic medications
drg4657,OXYCODONE 10MG TABS,chronic medication
cons025,Haematologist Consultation,consultation specialist
diag900,ATA - Anti Thyroglobulin Antibody -  [Serum],clinical pathology
sur0121,COLOSTOMY FOR ARM/HIRSCHSPRUNG'S,surgeries
drg2530,NO-SPA TAB,non-chronic medications
diag1968,"XRAY Chest (Film only, no reporting)",x-rays and contrast studies
pcd773,Endoscopic Transsphenoidal Excision of Pituitary Adenoma,surgeries
med0572,Trijardy XR  25mg/5mg/1g(Empagliflozin/Linagliptin/Metformin ),chronic medication
pcd761,Radio Frequency Ablation (RFA) (excludes Pulmonary Vein Isolation (PVI) Ablation for Atrial Fibrillation,surgeries
diag665,"AFB,susceptibility-Ethambutol -  [Pure culture]",non-chronic medications
pcd623,Endoscopic Thoracic Sympathectomy (ETS) - Unilateral,surgeries
pcd50,Laparoscopic Hemicolectomy - With Formation Of Stoma,surgeries
diag1392,Lupus - LAC (Lupus Anticoagulants) (screening and confirmation) -  [Citrated  Plasma],clinical pathology
oph0001,DRY EYE TEST SCHIRMER'S TEST,ophthalmic care
drg2459,Nature's Field Vitamin E 1000IU x 100,non-chronic medications
drg2460,Nature's Field Vitamin E 1000IU x 50,non-chronic medications
diag493,Histology In-House biopsy,surgeries
diag1069,CMV DNA detection by Real time PCR - [CSF],clinical pathology
son0012,bilateral doppler arterial & venous,advanced and complex investigations
drg1730,DIFLUCAN (FLUCONAZOLE) 50MG TAB,non-chronic medications
diag899,ATA - Anti Thyroglobulin Antibody -  [CSF],clinical pathology
cli0029,"Ankle Arthrodesis - Revision, Including Conversion From Total Ankle Replacement",surgeries
pcd175,Pharyngoscopy With Biopsy,surgeries
drg4035,ALFUZOSIN TAB,chronic medication
drg4625,NORIDAY,non-chronic medications
drg5010,TWINRIX,non-chronic medications
pcd4293,Roux-En-Y Pancreaticojejunostomy,surgeries
pcd425,Decompression Fasciotomy (Compartment Syndrome) - Bilateral,surgeries
drg2024,Getryl (Glimepiride 4mg) X2,chronic medication
pcd391,Arthroscopy Ankle And Therapeutic Procedure,surgeries
pcd453,Plaster Of Paris Fore Arm Cast,medical appliances/consumables
drg4855,TOFRANIL IMIPRAMINE TABS 10MG OR 25MG,chronic medication
drg2320,MARAX TAB,chronic medication
diag620,Troponin-T -  (Quantitative) [Na-Heparin Blood],clinical pathology
diag1503,PML RaRa ( t 15 ; 17 translocation) (For promyelocytic Leukemia (AML M3) -  [Na-Heparin Blood],cancer care
med0296,VOGLINORM (0.3MG) VOGLIBOSE *30,chronic medication
diag243,"Electrolytes = Sodium, Potassium, Chloride  [Urine, 24 hours]",clinical pathology
pcd66,Gastrectomy - Partial,surgeries
diag543,CEA,cancer care
drg2231,Levothyroxine 50mg,non-chronic medications
diag1360,Lead Graphite Furnace AAS - [EDTA Blood],clinical pathology
diag1361,Lead Graphite Furnace AAS - [Urine 24H],clinical pathology
diag883,Arsenic Graphite Furnace AAS - [EDTA Blood],clinical pathology
cli0067,Cauterization,surgeries
out0073,MASSETER,surgeries
pcd128,Inguinal Herniotomy  - Under 3 Years,surgeries
pcd448,Plaster Of Paris Below Knee,medical appliances/consumables
pcd610,Fusion - CMC Joint To Thumb With Bone Graft,surgeries
pcd779,Craniotomy and Excision of Meningioma -Supratentorial,surgeries
drg1875,EPROXEN 500mg satchet,non-chronic medications
drg2230,LEVOTHYROXINE 25MG,non-chronic medications
pcd215,Cystoscopy and Bladder distension,surgeries
med0408,Hypertonic Solution,non-chronic medications
diag1792,Permanent Catheter Insertion (Tunnelled Peremat),medical appliances/consumables
drg4150,CEFUROXIME 250MG INJ,non-chronic medications
diag905,bcr-abl gene rearrangement (Philadelphia Chromosome) (t9:22 translocation) -  [Bone Marrow],cancer care
drg1883,ERYTHROPOETIN-A 10000 UNIT INJ,non-chronic medications
diag296,PRE-DIALYSIS PROFILE (1st Timer),renal dialysis
diag1304,IGF-1 Somatomedin C Fasting - [Serum],clinical pathology
pcd48,Right Hemicolectomy - With Formation Of Stoma,surgeries
pcd336,Intracapsular Cataract Extraction with Intra-Ocular Lens,surgeries
drg4315,Ferrous Sulphate (Fesulf) 200mg 000,non-chronic medications
diag657,"AFB,susceptibility-Amikacin  -  [Pure culture]",non-chronic medications
pcd451,Plaster Of Paris Hip - Spica,medical appliances/consumables
pcd49,Left Hemicolectomy - With Formation Of Stoma,surgeries
drg3177,Visionace plus,non-chronic medications
pcd474,Arthroplasty Hip - Hemi - Femoral,surgeries
bio0012,HORMONAL PROFILE MALE,clinical pathology
diag715,Fungal cuture -  [Blood],clinical pathology
med0534,Ampiclox drop,non-chronic medications
diag1319,Influenza A and B virus IgG antibody - [Serum],clinical pathology
diag1646,Yersinia Enterocolitica IgG antibody - [Serum],clinical pathology
dent48,Dental Partial Denture (Every Additional Tooth),dentistry
diag489,Histology for Colposcopy (In house sample),surgeries
drg1728,DICYNONE 250MG INJECTION,non-chronic medications
pcd165,Condylectomy of the TMJ,surgeries
drg1039,Aday kit tab,non-chronic medications
drg3008,SYNRIAM TAB,non-chronic medications
sur0005,REMOVAL OF ADHESIONS (ADHESIOLYSIS),surgeries
drg4909,VALSARTAN HCTZ 160 25MG1 TAB,chronic medication
diag297,PRE-DIALYSIS PROFILE (Returning Patient),renal dialysis
drg4665,PANTOPRAZOLE 20 MG TEVA,non-chronic medications
pcd423,"Open Tenotomy, Not Elsewhere  Classified",surgeries
diag499,HPV-Human Papilloma Virus-DNA -Detection  [swab],clinical pathology
pcd124,Unilateral Laparoscopic Hernia - Inguinal Repair,surgeries
cons055,Psychiatrist Consultation,consultation specialist
drg2197,KOTASE TAB,non-chronic medications
diag879,APCR Activated Protein C Resistance Test - [Citrated plasma],clinical pathology
med0042,COVERAM PLUS 10/2.5/10MG TAB  (Penindopril plus Indapamide plus Amlodipine),chronic medication
diag147,Extra Charges for late Dialysis,renal dialysis
med0336,Cefixime 1g,non-chronic medications
sur0037,Change Of Central Veinous Catheter,medical appliances/consumables
sur0011,"Arthroscopy Of Knee (Including Examination Under Anaesthetic, And Washout",surgeries
drg2440,NATRILIX TAB 2.5MG TAB,chronic medication
diag1023,CD56/16 (NK Cell marker)  -  [EDTA-Blood],cancer care
diag073,CT IVP / IVU (Intravenous Pyelogram/Urogram),advanced and complex investigations
diag897,Aspergillosis IgM antibodies - [Serum],clinical pathology
pcd182,Meatoplasty,surgeries
med0113,MENINGGOCOCCAL VACCINE (A.C.W.Y) NIMENRIX  - Conjugate,immunizations
drg4188,CLOBETASOL PROPIONATE CREAM 25G TUBE,non-chronic medications
diag389,Australia Antigen (HBsAg) (Confirmation and Quantification) -  [Serum],clinical pathology
pcd5,Lumpectomy - Unspecified,surgeries
drg2672,PHARMATON ADVANCED CAPS * 30,non-chronic medications
diag1510,"Prolactin, active Monomeric prolactin - [Serum]",clinical pathology
pcd444,"Subcutaneous Tenotomy, Not Elsewhere  Classified",surgeries
pcd583,Secondary Repair Flexor Tendon - Hand (With or Without Graft),surgeries
drg4153,CEFUROXIME SUSP 250MG/5ML,non-chronic medications
pcd494,Arthroscopy Knee And Arthroscopic Procedure - Bilateral,surgeries
pcd769,Craniotomy and Excision of Tumour - Supratentorial (Except Meningioma),surgeries
diag1033,CDT Carbohydrate Deficient Transferrin - [Serum],clinical pathology
diag605,Thyroid Stimulating Hormone (TSH) -  [Serum],clinical pathology
cons031,Neonatologist Consultation,consultation specialist
drg3314,Ceftriaxone 1000mg,non-chronic medications
pcd80,"Pancreas - Total Excision Of, Or Pancreatico-Duodenectomy",surgeries
drg4851,TIOCONAZOLE 300MG PESSARY,non-chronic medications
pcd450,Plaster Of Paris Long Arm - Cast,surgeries
diag1700,RPR - Rapid Plasma Reagin (VDRL) -  [Serum],clinical pathology
pcd245,Simple Excision Vulval Lesion -  (including excision varicocele),surgeries
med0074,REVOTAZ,non-chronic medications
pcd57,Colectomy - Total With Ileo-Rectal Anastomosis,surgeries
diag1242,"HGV-RNA (Hepatitis G - RNA), Detection -  [EDTA Plasma.]",clinical pathology
diag1243,"HGV-RNA (Hepatitis G - RNA), Detection -  [EDTA Plasma]",clinical pathology
diag1244,"HGV-RNA (Hepatitis G - RNA), Detection -  [EDTA-Plasma]",clinical pathology
med0295,VOGLINORM (0.2MG) VOGLIBOSE *30,chronic medication
pcd130,"Abscess - Small, Or Cellulitis Requiring Incision And Drainage With Local Anaesthetic",surgeries
diag275,"Lipid Profile = Total cholesterol, HDL,LDL,VLDL, Triglycerides",clinical pathology
diag169,POTTASIUM CHLORIDE,non-chronic medications
diag941,Brucella antibodies IgM antibody - [Serum],clinical pathology
inp0009,Manual Removal Of Impacted Faeces Under Local Anasthesia,surgeries
feed01,PRIVATE ROOM FEEDING PER DAY,accomodation
diag667,"AFB,susceptibility-Isoniazid -  [Pure culture]",non-chronic medications
diag1699,RPR - Rapid Plasma Reagin (VDRL) -  [CSF],clinical pathology
diag1001,CD3/CD16/CD56 (Natural Killer Cells) (NKC)  -  [EDTA -Blood],cancer care
pcd465,Hip Arthroscopy With Therapeutic Procedure - Unilateral,surgeries
pcd492,Arthroscopy Knee And Arthroscopic Procedure - Unilateral,surgeries
diag866,Anti HAV - IgG Antibody to Hepatitis A Virus -  [Serum],clinical pathology
med0254,CALCITRIOL(MEGA) 0.25MG,chronic medication
drg1618,CO-MICARDIS 40/12.5 Sachet,non-chronic medications
drg5003,PREVANAR,immunizations
diag1306,IgG -  [EDTA  Blood],clinical pathology
pcd711,Arthrocentesis of Temporo-mandibular Joint (TMJ) - Unilateral,surgeries
diag812,ADH-Anti Diuretic Hormone Vasopressin [EDTA Plasma],non-chronic medications
diag1693,PTTk -Partial Thromboplastin Time -  [citrate  Plasma],clinical pathology
med0550,Posterior Night Splint,medical appliances/consumables
diag1317,"Immunofixation-quantitative Includes Protein electrophoresis, Immunofixation,
IgG, IgM, IgA, freelite and Serum",clinical pathology
drg4533,MEBENDAZOLE 500MG,non-chronic medications
sur0040,Closed Reduction Of Dislocated Hip Prosthesis,medical appliances/consumables
drg2348,MELOCAP MELOXICAM 15MG,non-chronic medications
med0427,Diclofenac sodium 100mg (bentren),chronic medication
diag1318,Influenza A and B virus IgM antibody - [Serum],clinical pathology
diag1507,PRA Plasma Renin Activity  - [EDTA Plasma],clinical pathology
diag1523,"Renin Activity, plasma (PRA) -  [EDTA  Plasma]",clinical pathology
pcd455,Plaster Of Paris Foot/Ankle Cast,medical appliances/consumables
sur0031,Carinal Resection  /- Pneumonectomy,surgeries
diag012,ECHO (Fetal),advanced and complex investigations
pcd496,Arthroscopic Chondroplasty Of Knee with or without Microfracture,surgeries
pcd24,Anal Fistula Repair with Mucosal Advancement Flap,surgeries
diag1150,Endomysial Antibody IgA antibody - [Serum],clinical pathology
drg2013,Gentamycin skin ointment DGF,non-chronic medications
pcd780,Craniotomy and Excision of Midline Base of Skull Tumour,surgeries
diag480,ER Oestrogen Receptor By Immunohistochemistry,cancer care
diag1885,Ultrasound guided aspiration,surgeries
diag1439,N- Acetyl Glucosamine 6 Sulphate Sulphatase - [Blood],clinical pathology
diag1930,XRAY Barium Meal Stomach and Duodenum,x-rays and contrast studies
diag1695,Rapid Plasma reagin (RPR/VDRL) test -  [Serum],clinical pathology
sur0112,"Cesarean section (theatre, anaesthetic agent/fee surgeon fee) ALL INCLUSIVE-BLOOD",surgeries
diag1292,HSV-1 and 2 (Herpes Simplex Virus-1 and 2) DNA detection by real time PCR - [Serum],clinical pathology
med0238,CLEXANE 80MG INJ,chronic medication
diag1875,Sono Testes /  Sono srotum / Scrotal Doppler,advanced and complex investigations
diag1149,"ENA Profile SSA, SSB, Sm, RNP-Sm, SCL-70, Jo-1 - [Serum]",clinical pathology
drg1411,CAFERGOT TAB (Ergotamine tartrate and Caffeine,non-chronic medications
drg2237,LIDOCAINE 13% SPARY 22.2ML,non-chronic medications
drg4133,CALCIUM GLUCONATE TAB,non-chronic medications
diag1291,HSV-1 and 2 (Herpes Simplex Virus-1 and 2) DNA detection by real time PCR - [CSF],clinical pathology
pcd323,Blepharoplasty for Dermatochalasis of Upper Eyelids only - Bilateral,surgeries
sur0115,"Emergency cesarean(theatre, anaesthetic agent fee surgeon fee) ALL INCLUSIVE -BLOOD",surgeries
diag1276,HLA Serology T and B Cell Cross Match Blood [DONOR : 20 ml EDTA Blood],clinical pathology
drg2703,PLASTER 1inch 2.5 x5.0cm s/s,medical appliances/consumables
med0218,IV LASIX 20MG,chronic medication
diag278,"Liver Function Tests_Bilirubin_total, direct and indirect, SGOT, SGPT, GGTP, Serum proteins, Alkaline phosphatase",clinical pathology
diag258,"GTC-Glucose Tolerance Curve, Extended (8 samples) -  [Plasma, Urine]",clinical pathology
