Procedure Code,Procedure Description,Benefit Group,,,,,,,,,,,,,,
DIAG138,CALCIUM GLUCONATE,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1231,ASTYMIN INFUSION,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1507,CERVICAL COLLAR SOFT MEDIUM,Physiotherapy,,,,,,,,,,,,,,
DRG1990,FUROSEMIDE TABS 20MG * 28,Chronic Medication,,,,,,,,,,,,,,
DRG2137,IMODIUM CAP 4MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2793,Ramipril 10mg * 28 (Teva),Chronic Medication,,,,,,,,,,,,,,
DRG2956,SPIRONOLACTONE TABS 25MG * 28,Chronic Medication,,,,,,,,,,,,,,
DRG4422,Imodium 2mg,Non-Chronic Medications,,,,,,,,,,,,,,
MED0262,Emla Cream,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG191,"Albumin / Microalbumin -  [Urine, spot]",Clinical Pathology,,,,,,,,,,,,,,
DIAG1758,MRI Orbits,Advanced And Complex Investigations,,,,,,,,,,,,,,
OPT77,Fundus Photography (each eye),Ophthalmic care,,,,,,,,,,,,,,
PCD728,Scaling and polishing,Dentistry,,,,,,,,,,,,,,
DIAG528,AFP-Alpha Feto Protein -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
PCD4311,Slit lamp,Ophthalmic care,,,,,,,,,,,,,,
DRG1388,BROMHEXINE 80MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
PCD4185,Knee Effusion Taps,Surgeries,,,,,,,,,,,,,,
DIAG870,Anti HEV -IgM Antibodies to Hepatitis E Virus -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DRG1634,COVERAM 10/5 * 30,Chronic Medication,,,,,,,,,,,,,,
PCD4125,Excision Of Intrascrotal Mass,Surgeries,,,,,,,,,,,,,,
DRG1170,Apacco Hydrogen Peroxide,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1303,BENDROFLUMETHIAZIDE 2.5MG TABS X28,Chronic Medication,,,,,,,,,,,,,,
DRG1604,COFEX COUGH SYRUP 100ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1689,DELE COTTON WOOL,Medical Appliances/Consumables,,,,,,,,,,,,,,
DRG2536,Novapharm Hydrogen Peroxide,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3094,TRIBOTAN BABY,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4607,NECTALLIN COUGH SYRUP 100ML,Non-Chronic Medications,,,,,,,,,,,,,,
Physio332,Walking Frame Tokumbo,Physiotherapy,,,,,,,,,,,,,,
DIAG207,AST (SGOT) -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG308,SGOT (AST) -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1028,CD8 Count -  [EDTA-Blood],Cancer Care,,,,,,,,,,,,,,
DRG2619,OTRIVIN NASAL DROPS (CHILDREN),Non-Chronic Medications,,,,,,,,,,,,,,
DIAG2106,XRAY Right Sacro-iliac Joint OBL,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG049,CT Colonography (Virtual Colonoscopy),Advanced And Complex Investigations,,,,,,,,,,,,,,
DRG1376,BONJELA GEL 1OG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1747,Dolo Meta-B,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG611,Toxoplasma - IgG (Qualitative) -  [CSF],Clinical Pathology,,,,,,,,,,,,,,
DIAG612,Toxoplasma - IgM (Qualitative  -  [CSF],Clinical Pathology,,,,,,,,,,,,,,
DIAG2031,XRAY Left Sacro-iliac Joint OBL,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG1365,Bisoprolol Fumarate 2.5mg sandoz,Chronic Medication,,,,,,,,,,,,,,
DRG1712,DIAmICRON MR 60MG X30,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3279,ZEDEX COUGH SYRUP,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG762,Urethral Swab M/C/S,Clinical Pathology,,,,,,,,,,,,,,
PCD490,Arthroscopy Knee - Diagnostic - Bilateral,Surgeries,,,,,,,,,,,,,,
SUR0001,CAESAREAN SECTION (MULTIPLE),Surgeries,,,,,,,,,,,,,,
PCD734,Pericardiotomy,Surgeries,,,,,,,,,,,,,,
DRG1462,Carvedilol 3.125mg,Chronic Medication,,,,,,,,,,,,,,
CLI0103,ACRYLIC CROWN (1 UNIT),Dentistry,,,,,,,,,,,,,,
DIAG087,CT Maxillofacial,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG088,CT Myelogram,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG090,CT Nasopharynx,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG093,CT Orbit,Advanced And Complex Investigations,,,,,,,,,,,,,,
DRG1435,CAMOQUINE SYRUP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2225,LESCOL 40MG CAP,Chronic Medication,,,,,,,,,,,,,,
DRG2741,PRIMOLUT DEPOT 250MG INJ,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3195,VITAMIN K INJ,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3200,VOLTAREN 50MG SUPPOSITORY,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4235,DEXAMETHASONE 8MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4854,Tocovid 50mg,Non-Chronic Medications,,,,,,,,,,,,,,
MED0101,ONDANSETRON INJ 4MG,Non-Chronic Medications,,,,,,,,,,,,,,
MED0107,THALIDOMIDE 100MG,Chronic Medication,,,,,,,,,,,,,,
CLI0120,CT PELVIMETRY,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG1949,XRAY both Knees (AP),X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG1950,XRAY both Knees (LAT),X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG1945,XRAY Both Humerus AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG3244,WOODWARDS GRIPE WATER,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4239,DF118 DIHYDROCODEINE TAB 30MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4376,HEPATITIS A VACCINE,Immunizations,,,,,,,,,,,,,,
DRG4687,PETAZONE DEXAMETHASONE INJ.4MG,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG185,"Acid Phosphatase, total  -  [Serum]",Clinical Pathology,,,,,,,,,,,,,,
DIAG451,Prostrate Biopsy (Ultrasound Guided),Surgeries,,,,,,,,,,,,,,
PCD4038,Barium Meal and Follow-Through,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2108,XRAY Right Scapula AP/LAT View,X-Rays and Contrast Studies,,,,,,,,,,,,,,
CONS015,Ent Specialist Consultation,Consultation Specialist,,,,,,,,,,,,,,
DIAG926,Beta-2-Microglobulin  [CSF],Clinical Pathology,,,,,,,,,,,,,,
CLI0009,Above Elbow Cast,Surgeries,,,,,,,,,,,,,,
CLI0136,MANIPULATION UNDER ANAESTHESIA,Surgeries,,,,,,,,,,,,,,
PCD16,"Breast - Simple Mastectomy, Bilateral",Surgeries,,,,,,,,,,,,,,
DRG4244,DIAZEPAM SUPPOSITORY 2 5MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2138,INDAPAMIDE TABS 2.5MG * 28 NATRILIX,Chronic Medication,,,,,,,,,,,,,,
DRG1504,CERVICAL COLLAR HARD LARGE,Physiotherapy,,,,,,,,,,,,,,
DIAG2033,XRAY Left Scapula AP/LAT View,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG1615,COMBANTRIN 125MG TAB PYRANTEL,Non-Chronic Medications,,,,,,,,,,,,,,
PCD108,Excision Of Thyroglossal Cyst Or Fistula,Surgeries,,,,,,,,,,,,,,
DRG4906,VALSARTAN 160MG,Chronic Medication,,,,,,,,,,,,,,
DRG4907,VALSARTAN 80MG,Chronic Medication,,,,,,,,,,,,,,
PCD4186,Laparoscopy and Dye Test,Surgeries,,,,,,,,,,,,,,
SUR0003,LAPAROSCOPY   DYE TEST  HYDROTUBATION,Surgeries,,,,,,,,,,,,,,
DIAG2111,XRAY Right Shoulder Joint AP/Axial,X-Rays and Contrast Studies,,,,,,,,,,,,,,
OUT0149,XRAY CHEST PA & BOTH LATERALS,X-Rays and Contrast Studies,,,,,,,,,,,,,,
OUT0150,XRAY CHEST PA & BOTH LATERALS,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2036,XRAY Left Shoulder Joint AP/Axial,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG1805,Visual Evoked Potential,Advanced and Complex Investigations,,,,,,,,,,,,,,
DRG1540,CIMETIDINE 200 mg,Non-Chronic Medications,,,,,,,,,,,,,,
ADM0003,Nursery Room/Accommodation,Accomodation,,,,,,,,,,,,,,
CONS008,Dental Follow Up,Consultation Specialist,,,,,,,,,,,,,,
DIAG044,CT Chest,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG054,CT Elbow,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG061,CT Finger,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG079,CT Leg,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG122,CT Wrist,Advanced And Complex Investigations,,,,,,,,,,,,,,
DRG1246,ATOVASTATIN (GENERIC) 10MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1601,CO-DIOVAN 80/12.5MG pack,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1909,EYETREOLENT EYE DROP 10ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2009,GENTAMYCIN 280MG INJ,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2111,HUMULIN 70/30 100ML,Chronic Medication,,,,,,,,,,,,,,
DRG2119,HYDROCORTISONE 100MG INJ,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2224,LESCOL 20MG CAP,Chronic Medication,,,,,,,,,,,,,,
DRG2617,OTOMED EAR DROPS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2751,PROGUANIL 100MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2798,RAMIPRIL 5MG BRISTOL,Chronic Medication,,,,,,,,,,,,,,
DRG3194,VITAMIN E 20MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4149,CEFTRIAXONE 500MG INJ,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4164,CHOLERA VACCINE,Immunizations,,,,,,,,,,,,,,
DRG4381,HOMTAMIN GINSENG X30,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4873,TRIFLUOPERAZINE 5MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4891,TYPHOID VACCINE,Immunizations,,,,,,,,,,,,,,
MED0221,DICLOFENAC SUPPOSITORY 50MG,Non-Chronic Medications,,,,,,,,,,,,,,
MED0271,Magnesium Sulphate Paste,Non-Chronic Medications,,,,,,,,,,,,,,
MED0558,Trental/Pentoxyfylline 400MG,Chronic Medication,,,,,,,,,,,,,,
DRG1289,BCG vaccine,Immunizations,,,,,,,,,,,,,,
DRG4705,PNEUMOCOCCAL VACCINE,Immunizations,,,,,,,,,,,,,,
HAE0001,Anca- P,Clinical Pathology,,,,,,,,,,,,,,
DIAG773,GENOTYPE SCREENING,Selective Health Screening,,,,,,,,,,,,,,
CLI0071,Cardiac profile/enzymes,Clinical Pathology,,,,,,,,,,,,,,
DIAG1724,MRI Arm,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG1728,MRI Brain,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG1737,MRI Chest,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG1739,MRI Elbow,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG1744,MRI Hand,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG1760,MRI Pelvis,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG1783,MRI Wrist,Advanced And Complex Investigations,,,,,,,,,,,,,,
OPT175,Subconjuctival Injection,Surgeries,,,,,,,,,,,,,,
PCD341,Trabeculectomy Per Eye,Surgeries,,,,,,,,,,,,,,
PCD410,Tendon Transfer,Surgeries,,,,,,,,,,,,,,
DRG1138,AMOXYCILLIN 125MG/5ML SUSPENSION,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1922,XRAY Abdomen Right Decubitus/Supine,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2088,XRAY Right Femur AP/LAT View,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG1963,FLUCORDAY TABS,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1955,XRAY Both Tibia and Fibula PA/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG1920,XRAY Abdomen Left Decubitus/Supine,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2015,XRAY Left Femur AP/LAT View,X-Rays and Contrast Studies,,,,,,,,,,,,,,
PCD691,Excision Ranula - Sub-Lingual Gland,Surgeries,,,,,,,,,,,,,,
Pro0010,INDIRECT OPTHALMOSCOPY,Ophthalmic care,,,,,,,,,,,,,,
DRG2916,SERETIDE DISKUS 250MCG,Non-Chronic Medications,,,,,,,,,,,,,,
PCD180,Oesophagoscopy,Surgeries,,,,,,,,,,,,,,
DIAG2049,XRAY Lumbar Spine LAT/Flexion / Extension,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG3019,TAMSULOSIN HYDROCHLORIDE 0.4MG CAP,Chronic Medication,,,,,,,,,,,,,,
DRG4205,cholestyramine 4G POWDER,Chronic Medication,,,,,,,,,,,,,,
MED0463,coversyl plus 10mg/2.5mg,Chronic Medication,,,,,,,,,,,,,,
MED0514,COVERSYL PLUS 10MG/2.5MG,Chronic Medication,,,,,,,,,,,,,,
DRG1294,BECONASE NASAL SPRAY,Chronic Medication,,,,,,,,,,,,,,
DRG1234,ATACAND (CANDESARTAN) 8MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2426,MYCOTEN CREAM 20G,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3100,TRITACE 10MG *30,Chronic Medication,,,,,,,,,,,,,,
DRG3294,ZINACEF 750MG INJ,Non-Chronic Medications,,,,,,,,,,,,,,
DRG5013,Thiopentone inj. 1g,Non-Chronic Medications,,,,,,,,,,,,,,
MED0357,Ferrobin Plus Cap,Non-Chronic Medications,,,,,,,,,,,,,,
PCD145,Ultrasound Guided Sclerotherapy - Varicose Veins(Bilateral),Ultrasound,,,,,,,,,,,,,,
CONS051,Physiotherapist Consultation,Consultation Specialist,,,,,,,,,,,,,,
DENT63,Dental Surgical Extraction (Major),Dentistry,,,,,,,,,,,,,,
DRG2515,NIZORAL SHAMPOO,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4320,FLEET ENEMA,X-Rays and Contrast Studies,,,,,,,,,,,,,,
CONS069,Specialist Initial Consultation,Consultation Specialist,,,,,,,,,,,,,,
PCD104,Superficial Parotidectomy-Bilateral,Surgeries,,,,,,,,,,,,,,
PCD111,Subtotal Thyroidectomy Bilateral,Surgeries,,,,,,,,,,,,,,
DIAG165,Non-Ultrasound GUided Abdominal Paraestesis,Surgeries,,,,,,,,,,,,,,
IMU0001,Chicken Pox Vaccine Varicella,Immunizations,,,,,,,,,,,,,,
DRG1584,CLOPIDOGREL TAB 75MG TEVA,Chronic Medication,,,,,,,,,,,,,,
DRG1777,E45 Cream 350g,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4550,MENINGITIS VACCINE,Immunizations,,,,,,,,,,,,,,
DRG4964,Wrist Support Ambidextrous,Physiotherapy,,,,,,,,,,,,,,
MED0028,MANNITOL 20% INFUSION,Non-Chronic Medications,,,,,,,,,,,,,,
MED0056,LEVOCETiRIZINE HCL 5MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
MED0173,JADELLE IMPLANT REMOVAL,Family Planning Services,,,,,,,,,,,,,,
MED0444,Arthrotec Generic,Non-chronic medications,,,,,,,,,,,,,,
DIAG1094,Cystatin C -[Serum],Clinical Pathology,,,,,,,,,,,,,,
CLI0125,FLOURIDE THERAPY,Dentistry,,,,,,,,,,,,,,
PCD792,Ear Piercing,Neonatal Services,,,,,,,,,,,,,,
PCD110,Total Thyroid Lobectomy,Surgeries,,,,,,,,,,,,,,
DRG1522,CHLOROCAP CHLORAMPHENICOL EYE OINTMENT,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4388,HUMAN PAPILLOMA VIRUS VACCINE,Non-Chronic Medications,,,,,,,,,,,,,,
Physio001,Walking stick-tripod,Physiotherapy,,,,,,,,,,,,,,
PCD365,Vitrectomy With Retinal Detachment Repair,Surgeries,,,,,,,,,,,,,,
DIAG011,ECG (Resting) Electrocardiography (Paediatric),Clinical Pathology,,,,,,,,,,,,,,
DIAG2083,XRAY Right Ankle Joint AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2086,XRAY Right Elbow Joint AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2112,XRAY Right Shoulder Joint AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2117,XRAY Right Wrist Joint AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG075,CT Knee,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG114,CT Spine,Advanced And Complex Investigations,,,,,,,,,,,,,,
DRG1505,CERVICAL COLLAR HARD MEDIUM,Physiotherapy,,,,,,,,,,,,,,
DRG1666,DAFLON TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1727,DICLOMOL TAB,Non-chronic medications,,,,,,,,,,,,,,
DRG2098,HEPATITIS VACCINE,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2517,NORFLEX TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2518,NORGESIC TAB,Non-Chronic Medications,,,,,,,,,,,,,,
MED0015,ASTEMIZOLE TAB,Non-Chronic Medications,,,,,,,,,,,,,,
MED0184,PROGESTERONE INJ,Non-Chronic Medications,,,,,,,,,,,,,,
MED0191,LABETALOL INJ,Chronic Medication,,,,,,,,,,,,,,
MED0437,Cefuroxime susp 125mg/ml,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG279,Magnesium -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
CLI0144,CA 19.9,Clinical Pathology,,,,,,,,,,,,,,
DIAG1719,MRI Abdomen,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG1746,MRI Knee,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG1757,MRI Neck,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG2010,XRAY Left Ankle Joint AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2013,XRAY Left Elbow Joint AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2037,XRAY Left Shoulder Joint AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2043,XRAY Left Wrist Joint AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG3210,WARFARIN 3MG * 28 TABS TEVA,Chronic Medication,,,,,,,,,,,,,,
DENT125,Complete Denture Full-Upper,Dentistry,,,,,,,,,,,,,,
DRG1220,ASOMEX (AMLODIPINE -S) 2.5MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1233,ATACAND (CANDESARTAN) 4MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1506,CERVICAL COLLAR SOFT LARGE,Physiotherapy,,,,,,,,,,,,,,
DRG1508,CERVICAL COLLAR SOFT SMALL,Physiotherapy,,,,,,,,,,,,,,
DRG2749,PROCAINE PENICILLIN INJ,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG647,"AFB, smear examination by ZN stain  -  [Any specimen ]",Clinical Pathology,,,,,,,,,,,,,,
DIAG2097,XRAY Right Heel LAT/Axial,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG1366,bisoprolol fumarate 5mg sandoz,Chronic Medication,,,,,,,,,,,,,,
DRG1619,Co-Micardis 80/12.5mg Sachet,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1673,DAONIL 5MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2702,PLASMOTRIM TAB 200MG,Non-Chronic Medications,,,,,,,,,,,,,,
MED0304,Amikacin injection,Non-Chronic Medications,,,,,,,,,,,,,,
CLI0028,Ankle Arthrodesis - Open,Surgeries,,,,,,,,,,,,,,
DIAG452,Soft tissue biopsy  Histology,Surgeries,,,,,,,,,,,,,,
PCD346,Laser Iridotomy - Bilateral,Surgeries,,,,,,,,,,,,,,
DIAG2024,XRAY Left Heel LAT/Axial,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG4296,EYELEA,Surgeries,,,,,,,,,,,,,,
DIAG434,Malarial Antigen (Vivax and Falciparum) -  [Blood],Clinical Pathology,,,,,,,,,,,,,,
DRG2867,ROCEPHIN INJ. 1G I.M.,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2868,ROCEPHIN INJ.1G I.V.,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2114,HYDRALAZINE 25MG TABS,Chronic Medication,,,,,,,,,,,,,,
INP0003,Professional Fee,Consultation General,,,,,,,,,,,,,,
INP0005,Professional Fee,Consultation General,,,,,,,,,,,,,,
DIAG023,CT 3D Reconstruction,Advanced And Complex Investigations,,,,,,,,,,,,,,
DRG2895,SALBUTAMOL INHALER 100MCG,Chronic Medication,,,,,,,,,,,,,,
DRG4130,CADUET 10 10MG,Chronic Medication,,,,,,,,,,,,,,
DENT47,Dental Orthodontic Consultation,Consultation Specialist,,,,,,,,,,,,,,
DRG1511,CETRIZINE 10MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2285,LOSARTAN 50MG (LIFEBACK) TABS,Chronic Medication,,,,,,,,,,,,,,
DRG2655,PENICILLIN OINTMENT SKIN,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3175,VISION PLUS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3290,ZESTRIL 5MG TABS X28,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4169,CIPROFLOXACIN 200MG INFUSION,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4174,CITALOPRAM 40MG,Non-Chronic Medications,,,,,,,,,,,,,,
MED0369,BISOPROLOL 2.5MG GENERIC,Chronic Medication,,,,,,,,,,,,,,
MED0473,CARVEDILOL 12.5MG (MULTICHRIS),Chronic Medication,,,,,,,,,,,,,,
DIAG589,"Insulin, fasting -  [Serum]",Clinical Pathology,,,,,,,,,,,,,,
DIAG595,"PSA -Prostate specific antigen, total -  [Serum]",Cancer Care,,,,,,,,,,,,,,
DIAG1398,Manganese ICPMS - [Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1401,Manganese ICPMS - [Urine],Clinical Pathology,,,,,,,,,,,,,,
DIAG1436,Myoglobin CLIA - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1485,Phenobarbitone Gardinal - [Serum],Clinical Pathology,,,,,,,,,,,,,,
OPH0012,Shirmer's Test,Ophthalmic care,,,,,,,,,,,,,,
DRG1865,ENTECAVIR 0.5MG X 30,Non-Chronic Medications,,,,,,,,,,,,,,
PCD381,Revision Repair of Ruptured Achilles Tendon - Unilateral,Surgeries,,,,,,,,,,,,,,
DRG1075,ALPHAGAN EYE DROP UK,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2184,KENALOG INJ 40MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3303,ZITHROMAX 250MG CAP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4766,Rotavirus vaccine,Immunizations,,,,,,,,,,,,,,
DIAG728,Microfilaria detection -  [Blood],Clinical Pathology,,,,,,,,,,,,,,
MED0267,Ipatroprium Bromide (Atrovent) Inhaler,Chronic Medication,,,,,,,,,,,,,,
DRG4431,Insulatard Hm 100IU/ML 10 ML (Vial),Chronic Medication,,,,,,,,,,,,,,
DRG4945,VOGLIBOSE 0 2MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1845,emzor vitB complex syrup,Non-Chronic Medications,,,,,,,,,,,,,,
PCD61,Colostomy - Closure,Surgeries,,,,,,,,,,,,,,
PCD4260,Pneumonectomy,Surgeries,,,,,,,,,,,,,,
PCD174,Pharyngoscopy,Surgeries,,,,,,,,,,,,,,
PCD208,Pyeloplasty,Surgeries,,,,,,,,,,,,,,
DENT97,Orthodontic Treatment - I,Dentistry,,,,,,,,,,,,,,
DRG2208,LAMISIL CREAM-15G,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2742,PRIMOLUT -N 5MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4725,PROPOFOL 10MG/ML INJ,Non-Chronic Medications,,,,,,,,,,,,,,
MED0292,NEBIVOLOL 2.5MG,Chronic Medication,,,,,,,,,,,,,,
MED0320,Tab. Nitrofurantoin,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG233,CPK - Creatinine Phosphokinase (Total) -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
PCD305,Cervical Ripening,Maternity,,,,,,,,,,,,,,
OPH0035,Beoptic N Eye Drop,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG2090,XRAY Right Foot AP/OBL,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2096,XRAY Right Hand AP/OBL,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG3036,TENORET 50 TABLETS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2817,Relcer gel 180mls,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG2017,XRAY Left Foot AP/OBL,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG2023,XRAY Left Hand AP/OBL,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG4751,RANITIDINE INJ 50MG 2ML,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG288,"Phosphorus, inorganic -  [Urine, spot]",Clinical Pathology,,,,,,,,,,,,,,
DRG3257,xonadine tabs 120mg,Non-Chronic Medications,,,,,,,,,,,,,,
DENT64,Dental Surgical Extraction (Minor),Dentistry,,,,,,,,,,,,,,
DRG2010,GENTAMYCIN 80MG INJ,Non-Chronic Medications,,,,,,,,,,,,,,
MED0433,Oruvail cap 200mg,Chronic Medication,,,,,,,,,,,,,,
PCD103,Superficial Parotidectomy-Unilateral,Surgeries,,,,,,,,,,,,,,
DIAG857,Amino Acid Quantitative - [Urine],Clinical Pathology,,,,,,,,,,,,,,
DRG3309,ZOLAT SUSPENSION,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2568,OLFEN 75mg TAB,Non-chronic medications,,,,,,,,,,,,,,
CONS083,EMERGENCY CONSULTATION,Consultation Specialist,,,,,,,,,,,,,,
DRG1441,CANDESARTAN 8MG,Chronic Medication,,,,,,,,,,,,,,
DRG1725,DICLOFENAC SODIUM GEL,Non-chronic medications,,,,,,,,,,,,,,
DRG1989,FUROSEMIDE 40MG teva,Chronic Medication,,,,,,,,,,,,,,
DRG2238,LIGABA 75MG [pregabalin],Chronic Medication,,,,,,,,,,,,,,
DRG2641,Generic PARACETAMOL 500MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2800,RAMIPRIL TABS 10MG (Sivo),Chronic Medication,,,,,,,,,,,,,,
DRG3193,VITAMIN E 1000IU,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4173,CITALOPRAM 10MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4573,MICONAZOLE VAGINAL CREAM,Non-Chronic Medications,,,,,,,,,,,,,,
MED0106,Solifenacin 5MG,Non-Chronic Medications,,,,,,,,,,,,,,
